1,10,0.1335,0.1935
2,10,0.1655,0.1560
4,10,0.1809,0.1427
8,10,0.1895,0.1363
32,10,0.1885,0.1370
1,11,0.1748,0.1477
2,11,0.2410,0.1071
4,11,0.2683,0.0962
8,11,0.2847,0.0907
64,11,0.2914,0.0886
1,12,0.2578,0.1002
2,12,0.3430,0.0753
4,12,0.4309,0.0599
8,12,0.4813,0.0536
128,12,0.5212,0.0495
1,13,0.3854,0.0670
2,13,0.5454,0.0473
4,13,0.6080,0.0425
8,13,0.6530,0.0395
256,13,0.6600,0.0391
1,14,0.5602,0.0461
2,14,0.7630,0.0338
4,14,0.9117,0.0283
8,14,0.9308,0.0277
512,14,0.9803,0.0263
1,15,0.6852,0.0377
2,15,0.8962,0.0288
4,15,0.9780,0.0264
8,15,0.9836,0.0262
1024,15,0.9840,0.0262
1,16,0.7843,0.0329
2,16,0.9517,0.0271
4,16,0.9950,0.0259
8,16,0.9973,0.0259
2048,16,0.9996,0.0258
1,17,0.7986,0.0323
2,17,0.9969,0.0259
4,17,1.0000,0.0258
8,17,1.0000,0.0258
4096,17,1.0000,0.0258
1,18,0.9992,0.0258
2,18,0.9992,0.0258
4,18,1.0000,0.0258
8,18,1.0000,0.0258
8192,18,1.0000,0.0258
1,10,0.1335,0.1935
2,10,0.1655,0.1560
4,10,0.1809,0.1427
8,10,0.1895,0.1363
32,10,0.1885,0.1370
1,11,0.1748,0.1477
2,11,0.2410,0.1071
4,11,0.2683,0.0962
8,11,0.2847,0.0907
64,11,0.2914,0.0886
1,12,0.2578,0.1002
2,12,0.3430,0.0753
4,12,0.4309,0.0599
8,12,0.4813,0.0536
128,12,0.5212,0.0495
1,13,0.3854,0.0670
2,13,0.5454,0.0473
4,13,0.6080,0.0425
8,13,0.6530,0.0395
256,13,0.6600,0.0391
1,14,0.5602,0.0461
2,14,0.7630,0.0338
4,14,0.9117,0.0283
8,14,0.9308,0.0277
512,14,0.9803,0.0263
1,15,0.6852,0.0377
2,15,0.8962,0.0288
4,15,0.9780,0.0264
8,15,0.9836,0.0262
1024,15,0.9840,0.0262
1,16,0.7843,0.0329
2,16,0.9517,0.0271
4,16,0.9950,0.0259
8,16,0.9973,0.0259
2048,16,0.9996,0.0258
1,17,0.7986,0.0323
2,17,0.9969,0.0259
4,17,1.0000,0.0258
8,17,1.0000,0.0258
4096,17,1.0000,0.0258
1,18,0.9992,0.0258
2,18,0.9992,0.0258
4,18,1.0000,0.0258
8,18,1.0000,0.0258
8192,18,1.0000,0.0258
