10,4,0.1473
10,5,0.1427
10,6,0.1584
10,7,0.2036
11,4,0.1062
11,5,0.0962
11,6,0.1033
11,7,0.1334
12,4,0.0755
12,5,0.0599
12,6,0.0619
12,7,0.0830
13,4,0.0595
13,5,0.0425
13,6,0.0386
13,7,0.0483
14,4,0.0482
14,5,0.0283
14,6,0.0204
14,7,0.0198
15,4,0.0475
15,5,0.0264
15,6,0.0156
15,7,0.0111
10,4,0.1473
10,5,0.1427
10,6,0.1584
10,7,0.2036
11,4,0.1062
11,5,0.0962
11,6,0.1033
11,7,0.1334
12,4,0.0755
12,5,0.0599
12,6,0.0619
12,7,0.0830
13,4,0.0595
13,5,0.0425
13,6,0.0386
13,7,0.0483
14,4,0.0482
14,5,0.0283
14,6,0.0204
14,7,0.0198
15,4,0.0475
15,5,0.0264
15,6,0.0156
15,7,0.0111
