1,10,0.1935
2,10,0.1560
4,10,0.1427
8,10,0.1363
32,10,0.1370
1,11,0.1477
2,11,0.1071
4,11,0.0962
8,11,0.0907
64,11,0.0886
1,12,0.1002
2,12,0.0753
4,12,0.0599
8,12,0.0536
128,12,0.0495
1,13,0.0670
2,13,0.0473
4,13,0.0425
8,13,0.0395
256,13,0.0391
1,14,0.0461
2,14,0.0338
4,14,0.0283
8,14,0.0277
512,14,0.0263
1,15,0.0377
2,15,0.0288
4,15,0.0264
8,15,0.0262
1024,15,0.0262
1,16,0.0329
2,16,0.0271
4,16,0.0259
8,16,0.0259
2048,16,0.0258
1,17,0.0323
2,17,0.0259
4,17,0.0258
8,17,0.0258
4096,17,0.0258
1,18,0.0258
2,18,0.0258
4,18,0.0258
8,18,0.0258
8192,18,0.0258
1,19,0.0258
2,19,0.0258
4,19,0.0258
8,19,0.0258
16384,19,0.0258
1,20,0.0258
2,20,0.0258
4,20,0.0258
8,20,0.0258
32768,20,0.0258
1,10,0.1935
2,10,0.1560
4,10,0.1427
8,10,0.1363
32,10,0.1370
1,11,0.1477
2,11,0.1071
4,11,0.0962
8,11,0.0907
64,11,0.0886
1,12,0.1002
2,12,0.0753
4,12,0.0599
8,12,0.0536
128,12,0.0495
1,13,0.0670
2,13,0.0473
4,13,0.0425
8,13,0.0395
256,13,0.0391
1,14,0.0461
2,14,0.0338
4,14,0.0283
8,14,0.0277
512,14,0.0263
1,15,0.0377
2,15,0.0288
4,15,0.0264
8,15,0.0262
1024,15,0.0262
1,16,0.0329
2,16,0.0271
4,16,0.0259
8,16,0.0259
2048,16,0.0258
1,17,0.0323
2,17,0.0259
4,17,0.0258
8,17,0.0258
4096,17,0.0258
1,18,0.0258
2,18,0.0258
4,18,0.0258
8,18,0.0258
8192,18,0.0258
1,19,0.0258
2,19,0.0258
4,19,0.0258
8,19,0.0258
16384,19,0.0258
1,20,0.0258
2,20,0.0258
4,20,0.0258
8,20,0.0258
32768,20,0.0258
