5,10,0.1840,0.1427
6,10,0.1814,0.1427
7,10,0.1809,0.1427
8,10,0.1809,0.1427
9,10,0.1809,0.1427
10,10,0.1809,0.1427
5,11,0.2728,0.0962
6,11,0.2691,0.0962
7,11,0.2683,0.0962
8,11,0.2683,0.0962
9,11,0.2683,0.0962
10,11,0.2683,0.0962
5,12,0.4381,0.0599
6,12,0.4326,0.0599
7,12,0.4309,0.0599
8,12,0.4309,0.0599
9,12,0.4309,0.0599
10,12,0.4309,0.0599
5,13,0.6181,0.0425
6,13,0.6105,0.0425
7,13,0.6080,0.0425
8,13,0.6080,0.0425
9,13,0.6080,0.0425
10,13,0.6080,0.0425
5,14,0.9266,0.0283
6,14,0.9167,0.0283
7,14,0.9117,0.0283
8,14,0.9117,0.0283
9,14,0.9117,0.0283
10,14,0.9117,0.0283
6,15,0.9841,0.0264
7,15,0.9780,0.0264
8,15,0.9780,0.0264
9,15,0.9780,0.0264
10,15,0.9780,0.0264
7,16,0.9950,0.0259
8,16,0.9950,0.0259
9,16,0.9950,0.0259
10,16,0.9950,0.0259
8,17,1.0000,0.0258
9,17,1.0000,0.0258
10,17,1.0000,0.0258
9,18,1.0000,0.0258
10,18,1.0000,0.0258
5,10,0.1840,0.1427
6,10,0.1814,0.1427
7,10,0.1809,0.1427
8,10,0.1809,0.1427
9,10,0.1809,0.1427
10,10,0.1809,0.1427
5,11,0.2728,0.0962
6,11,0.2691,0.0962
7,11,0.2683,0.0962
8,11,0.2683,0.0962
9,11,0.2683,0.0962
10,11,0.2683,0.0962
5,12,0.4381,0.0599
6,12,0.4326,0.0599
7,12,0.4309,0.0599
8,12,0.4309,0.0599
9,12,0.4309,0.0599
10,12,0.4309,0.0599
5,13,0.6181,0.0425
6,13,0.6105,0.0425
7,13,0.6080,0.0425
8,13,0.6080,0.0425
9,13,0.6080,0.0425
10,13,0.6080,0.0425
5,14,0.9266,0.0283
6,14,0.9167,0.0283
7,14,0.9117,0.0283
8,14,0.9117,0.0283
9,14,0.9117,0.0283
10,14,0.9117,0.0283
6,15,0.9841,0.0264
7,15,0.9780,0.0264
8,15,0.9780,0.0264
9,15,0.9780,0.0264
10,15,0.9780,0.0264
7,16,0.9950,0.0259
8,16,0.9950,0.0259
9,16,0.9950,0.0259
10,16,0.9950,0.0259
8,17,1.0000,0.0258
9,17,1.0000,0.0258
10,17,1.0000,0.0258
9,18,1.0000,0.0258
10,18,1.0000,0.0258
